proposal_id,title,voting_date,f_statistic,p_value,eta_squared,mean_range,n_municipalities,n_groups,category,significant,highly_significant
178,Erwerbsersatzgesetz (indirekter Gegenvorschlag zur Volksinitiative «Für einen vernünftigen Vaterschaftsurlaub - zum Nutzen der ganzen Familie»),20200927,285.5203250397704,6.844987459124842e-267,0.4522351636886215,30.384848193036284,2082,7,Grossregionen,True,True
179,Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge,20200927,82.93957328357116,2.8006225515568732e-93,0.19343473433986144,14.49912533876271,2082,7,Grossregionen,True,True
180,Volksinitiative «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,20201129,113.67287997508046,2.941161422343472e-124,0.24738050690684543,18.686455037326205,2082,7,Grossregionen,True,True
181,Volksinitiative «Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten»,20201129,75.27344100313768,3.220799845276776e-85,0.17875143690515174,16.719491815629063,2082,7,Grossregionen,True,True
182,Volksinitiative «Ja zum Verhüllungsverbot»,20210307,26.97294374446063,4.185691835558098e-31,0.07231876788076358,7.664039358896332,2083,7,Grossregionen,True,True
183,"Bundesgesetz über elektronische Identifizierungsdienste (EID-Gesetz, BGEID)",20210307,38.24745758984687,2.9575631524427817e-44,0.09953860938924664,9.823683318237762,2083,7,Grossregionen,True,True
184,Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommens zwischen den EFTA-Staaten und Indonesien,20210307,208.69018387964408,1.3228173183320603e-208,0.3762283702588928,21.190270046320812,2083,7,Grossregionen,True,True
185,Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subventionen für den Pestizid- und den prophylaktischen Antibiotika-Einsatz»,20210613,79.74959015314738,6.029553971792671e-90,0.18731571796571883,14.04804831150102,2083,7,Grossregionen,True,True
186,Volksinitiative «Für eine Schweiz ohne synthetische Pestizide»,20210613,57.776899042752355,2.722682394577458e-66,0.1430911455799626,13.203900172254937,2083,7,Grossregionen,True,True
187,Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),20210613,152.3581017124768,1.6521718402022237e-160,0.3057201261280561,21.932579960276698,2083,7,Grossregionen,True,True
188,Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),20210613,32.45566038102286,1.5470219011599723e-37,0.08575815816401595,9.018096382646313,2083,7,Grossregionen,True,True
189,Bundesgesetz über polizeiliche Massnahmen zur Bekämpfung von Terrorismus (PMT),20210613,56.301447964378774,1.164465012915053e-64,0.13994840995293678,7.8358624864151025,2083,7,Grossregionen,True,True
190,"Volksinitiative «Löhne entlasten, Kapital gerecht besteuern»",20210926,97.59562832044993,2.5626312782361326e-108,0.22001034746435238,10.520190775595466,2083,7,Grossregionen,True,True
191,Änderung des Schweizerischen Zivilgesetzbuches (Ehe für alle),20210926,37.10275326563839,6.1991635000911854e-43,0.09684804650806497,11.19828362751064,2083,7,Grossregionen,True,True
192,Volksinitiative «Für eine starke Pflege» (Pflegeinitiative),20211128,47.581918519189685,6.57700553721501e-55,0.12089457437021413,6.455798738402933,2083,7,Grossregionen,True,True
193,Volksinitiative «Bestimmung der Bundesrichterinnen und Bundesrichter im Losverfahren» (Justiz-Initiative),20211128,138.0224000441663,2.0678785411430384e-147,0.28515705064801106,10.494123412062518,2083,7,Grossregionen,True,True
